Moisture,Texture,Crop,Nitrogen,Potassium,Phosphorus,pH,EC_dS_m,Organic_Matter_%,Iron_ppm,Zinc_ppm,Manganese_ppm,Copper_ppm,Boron_ppm
38.0,Sandy,Maize,37,0,0,6.44,1.55,1.21,5.24,0.54,2.55,0.89,0.58
45.0,Loamy,Sugarcane,12,0,36,7.42,1.5,1.2,4.37,0.51,1.83,0.61,0.99
62.0,Black,Cotton,7,9,30,7.04,0.55,2.43,2.72,0.84,1.94,0.48,0.78
34.0,Red,Tobacco,22,0,20,6.82,1.88,1.28,6.17,1.7,2.13,0.82,0.88
46.0,Clayey,Paddy,35,0,0,6.07,1.31,3.73,6.42,1.86,2.21,0.94,0.55
35.0,Sandy,Barley,12,10,13,6.07,0.98,1.78,4.22,1.09,2.35,0.45,0.92
64.0,Red,Cotton,9,0,10,5.9,1.61,2.43,4.95,1.34,2.39,0.5,0.79
50.0,Loamy,Wheat,41,0,0,7.27,0.81,1.36,4.3,1.56,3.1,0.84,0.8
42.0,Sandy,Millets,21,0,18,6.82,1.51,2.56,3.79,1.93,3.28,1.17,0.27
33.0,Black,Oil seeds,9,7,30,7.0,0.46,2.19,2.81,1.87,2.58,0.41,0.69
28.0,Clayey,Pulses,13,0,40,5.83,1.74,1.32,4.32,0.59,4.68,0.85,0.47
48.0,Sandy,Maize,14,15,12,7.45,1.12,2.07,5.77,0.87,3.44,1.11,0.74
65.0,Loamy,Cotton,36,0,0,7.22,1.42,2.22,2.57,0.57,4.26,0.66,0.65
41.0,Clayey,Paddy,24,0,22,6.16,0.75,3.77,4.83,1.42,4.73,0.52,0.29
31.0,Red,Ground Nuts,14,0,41,6.11,1.48,1.74,6.02,1.57,2.07,0.87,0.62
49.0,Black,Sugarcane,10,13,14,6.11,1.64,2.62,3.37,0.96,3.0,0.23,0.56
34.0,Clayey,Pulses,38,0,0,6.32,1.16,3.77,3.23,1.78,3.02,0.56,0.82
39.0,Sandy,Barley,21,0,19,6.69,1.39,3.26,5.59,1.18,2.74,0.46,0.6
65.0,Black,Cotton,39,0,0,6.53,1.13,3.78,3.52,2.0,1.53,0.42,0.58
52.0,Loamy,Wheat,13,0,36,6.3,1.83,3.72,3.27,0.5,4.36,0.38,0.78
44.0,Sandy,Millets,10,0,9,6.84,1.2,2.47,4.01,0.66,1.89,0.94,0.73
53.0,Loamy,Sugarcane,12,14,12,6.04,1.75,3.01,4.07,0.95,4.98,1.16,0.99
33.0,Red,Tobacco,11,0,37,6.3,1.68,1.49,6.0,0.54,4.21,0.58,0.48
37.0,Black,Millets,36,0,0,6.42,1.06,2.35,4.97,1.67,3.53,0.25,0.75
39.0,Clayey,Paddy,13,0,10,6.58,0.77,3.3,4.12,0.58,2.04,0.92,0.33
44.0,Sandy,Maize,23,0,20,7.13,1.05,2.51,4.64,1.62,3.3,0.74,0.84
63.0,Red,Cotton,9,9,29,6.14,1.72,3.03,6.32,0.58,2.41,0.92,0.83
30.0,Loamy,Sugarcane,38,0,0,6.67,0.76,3.14,2.95,0.88,2.38,0.85,0.78
32.0,Black,Oil seeds,12,0,39,6.81,1.24,1.86,3.33,1.76,4.4,1.11,0.3
36.0,Clayey,Pulses,14,0,13,5.88,1.69,3.48,6.35,1.93,2.83,0.34,0.99
40.0,Red,Ground Nuts,24,0,23,6.83,0.97,2.4,6.33,1.12,3.08,0.37,0.95
27.0,Loamy,Sugarcane,12,0,40,6.09,1.43,1.75,3.21,1.95,4.45,0.54,0.5
38.0,Clayey,Paddy,39,0,0,5.91,0.79,3.45,3.08,1.44,1.81,0.69,0.66
38.0,Sandy,Barley,7,9,30,7.41,0.57,2.29,4.18,1.12,3.58,1.13,0.91
48.0,Loamy,Wheat,23,0,19,7.44,1.67,3.15,2.7,1.7,3.52,1.11,0.6
35.0,Black,Millets,41,0,0,7.17,0.56,2.62,5.12,0.94,2.99,1.07,0.68
61.0,Loamy,Cotton,8,10,31,6.32,0.83,2.19,2.81,0.9,4.4,0.42,0.68
37.0,Clayey,Paddy,12,0,41,5.97,1.77,3.31,2.73,1.48,4.8,0.93,0.72
26.0,Red,Ground Nuts,15,14,11,6.96,0.95,2.72,4.44,1.09,3.13,0.58,0.66
34.0,Sandy,Millets,15,0,37,6.55,1.96,2.22,6.33,0.7,3.1,1.13,0.52
30.0,Clayey,Pulses,13,0,13,6.01,1.97,1.48,4.21,0.6,3.26,0.41,0.63
58.0,Loamy,Sugarcane,10,7,32,6.64,0.83,3.53,3.93,1.68,4.03,0.34,0.9
34.0,Red,Tobacco,22,0,24,5.86,0.47,1.29,6.49,1.51,3.84,1.04,0.89
60.0,Black,Sugarcane,35,0,0,7.35,1.53,3.44,4.63,1.12,2.28,0.92,0.82
42.0,Sandy,Barley,10,0,35,6.24,1.12,2.14,4.0,1.84,1.72,1.02,0.53
48.0,Loamy,Wheat,8,8,28,6.93,0.56,2.86,4.04,1.12,4.82,0.36,0.83
32.0,Black,Oil seeds,12,0,8,6.33,1.53,3.6,3.28,1.57,2.41,1.08,0.51
43.0,Clayey,Paddy,24,0,18,6.68,0.45,1.59,4.55,1.86,3.74,0.88,0.73
29.0,Red,Ground Nuts,41,0,0,6.73,1.79,2.67,4.26,1.76,4.4,0.85,0.65
51.0,Sandy,Maize,5,9,29,6.11,0.62,3.19,3.58,1.27,2.55,0.78,0.44
31.0,Red,Tobacco,23,0,21,7.45,0.6,3.17,3.14,1.52,3.72,0.96,0.56
33.0,Black,Oil seeds,13,0,14,7.12,0.68,2.57,3.74,1.12,1.88,0.62,0.86
38.0,Clayey,Pulses,40,0,0,7.4,1.94,2.82,4.53,1.47,4.89,0.33,0.93
47.0,Sandy,Barley,12,0,42,7.32,1.51,3.17,2.73,0.89,1.7,0.74,0.36
63.0,Red,Cotton,11,12,15,6.82,1.68,3.39,3.11,1.15,3.03,0.95,0.56
43.0,Black,Millets,23,0,24,7.37,1.04,3.18,6.29,0.81,3.38,0.35,0.55
54.0,Loamy,Wheat,38,0,0,5.95,0.94,2.12,4.67,0.56,4.27,0.42,0.59
37.0,Sandy,Millets,8,0,15,6.13,0.78,3.79,2.75,1.38,1.92,0.9,0.98
56.0,Loamy,Sugarcane,11,13,15,5.88,1.17,2.33,5.27,1.8,3.04,0.47,0.61
34.0,Red,Ground Nuts,15,0,37,6.35,1.28,1.26,2.75,0.54,2.55,0.37,0.86
41.0,Clayey,Paddy,36,0,0,6.46,1.41,2.14,5.46,0.79,2.59,1.09,0.73
49.0,Loamy,Wheat,13,0,9,6.26,0.81,1.53,5.5,1.19,4.23,0.36,0.29
64.0,Black,Cotton,24,0,20,7.21,1.92,1.52,5.1,1.5,1.52,0.54,0.76
47.0,Sandy,Barley,5,18,15,6.41,0.67,1.93,5.43,0.76,4.12,0.63,0.72
35.0,Black,Oil seeds,37,0,0,6.28,1.95,1.34,2.85,0.59,4.34,0.68,0.81
62.0,Red,Cotton,15,0,40,6.72,0.42,2.99,5.41,1.28,4.65,0.56,0.26
57.0,Black,Sugarcane,9,0,13,6.04,1.17,1.39,3.05,1.73,3.69,1.11,0.39
55.0,Loamy,Sugarcane,8,8,33,7.16,0.93,1.73,3.86,0.55,2.67,0.86,0.82
40.0,Clayey,Pulses,6,19,16,5.93,1.12,1.44,6.27,1.02,3.0,0.56,0.5
38.0,Sandy,Millets,10,0,14,7.48,1.31,1.36,4.51,1.5,4.89,0.56,0.93
39.0,Clayey,Pulses,21,0,23,7.11,1.1,1.9,6.37,0.7,4.58,0.7,0.61
32.0,Red,Tobacco,39,0,0,6.14,1.06,2.69,2.86,0.85,3.12,0.23,0.2
48.0,Loamy,Wheat,23,0,19,5.81,1.57,3.71,4.41,1.3,4.8,1.13,0.76
34.0,Black,Oil seeds,42,0,0,7.19,1.5,3.48,2.75,1.93,4.38,0.42,0.61
31.0,Red,Ground Nuts,13,0,39,7.0,1.73,3.48,5.02,0.93,4.65,0.9,0.45
42.0,Clayey,Paddy,9,10,22,7.04,0.8,1.66,2.81,1.23,3.89,0.98,0.22
47.0,Sandy,Maize,22,0,21,7.11,1.38,1.89,3.2,1.1,4.5,1.03,0.36
59.0,Loamy,Sugarcane,10,0,15,5.93,1.34,1.4,3.54,1.85,4.62,0.37,0.33
36.0,Clayey,Pulses,7,16,20,6.41,0.99,3.22,5.49,0.61,1.82,0.74,0.67
63.0,Red,Cotton,14,0,38,6.0,1.18,1.38,3.16,1.35,4.88,0.28,0.82
43.0,Clayey,Paddy,10,8,29,7.27,0.9,2.65,5.89,1.77,2.67,1.0,0.39
40.0,Sandy,Millets,41,0,0,6.86,0.63,1.84,3.03,1.98,3.04,0.69,0.76
65.0,Black,Cotton,14,0,35,6.36,0.74,1.83,2.64,1.55,4.27,0.36,0.92
59.0,Loamy,Sugarcane,11,0,9,5.91,0.57,3.78,4.08,1.07,3.83,0.92,0.7
44.0,Sandy,Barley,21,0,28,6.33,1.49,3.17,6.42,1.12,4.63,0.53,0.82
28.0,Clayey,Pulses,8,7,31,6.35,1.46,3.38,2.94,1.03,2.9,0.31,0.36
